year,book_format,avg_price,avg_page_count,book_count,total_reviews,total_sales
1900,All Formats,7.086923076923078,128.0,2,78,2398.1400000000003
1928,All Formats,9.990000000000002,192.0,1,39,1918.0799999999997
1930,All Formats,6.99,192.0,1,147,4767.180000000001
1932,All Formats,9.99,202.0,1,48,2257.74
1935,All Formats,10.16,96.0,1,3,142.24
1936,All Formats,11.990000000000007,72.0,1,335,19555.689999999977
1938,All Formats,38.59,1160.0,1,21,3974.7700000000004
1941,All Formats,15.289999999999994,64.0,1,90,6482.960000000001
1942,All Formats,6.870000000000001,159.6206896551724,2,58,1959.3
1943,All Formats,17.548333333333332,128.0,2,6,484.66
1946,All Formats,8.5,776.0,1,2,85.0
1947,All Formats,16.378,192.0,2,35,2768.2900000000004
1949,All Formats,98.09,292.0,1,1,196.18
1950,All Formats,8.590000000000003,144.0,1,94,3401.640000000001
1953,All Formats,15.19,352.0,1,24,1746.8500000000004
1954,All Formats,33.99,560.0,1,3,509.85
1955,All Formats,29.45411764705883,340.2352941176471,2,34,4937.27
1957,All Formats,18.95,400.0,1,31,2596.15
1958,All Formats,13.802558139534883,279.36507936507934,3,129,7463.139999999999
1959,All Formats,5.95,,1,24,666.4
1960,All Formats,5.819942982456126,70.28552631578947,3,2280,63446.97000000022
1961,All Formats,13.651483253588516,165.23923444976077,5,209,11988.650000000001
1962,All Formats,21.98311475409836,378.1694915254237,4,61,6232.56
1963,All Formats,12.862857142857143,256.0,3,7,441.24
1964,All Formats,16.387906976744183,116.25581395348837,2,86,6636.93
1965,All Formats,20.55387387387388,464.9549549549549,2,111,10667.72
1966,All Formats,16.255555555555556,261.3333333333333,2,9,731.5
1968,All Formats,16.06032786885246,29.540983606557376,3,122,9571.940000000002
1969,All Formats,12.640123456790116,88.97260273972603,5,162,8763.470000000001
1970,All Formats,33.79875,538.4509803921569,4,104,16739.509999999995
1971,All Formats,11.858803418803415,249.88181818181818,4,117,6643.9400000000005
1972,All Formats,10.20688888888889,243.86666666666667,3,45,2029.2199999999996
1973,All Formats,17.714098039215695,244.16535433070865,7,510,40272.179999999964
1974,All Formats,15.422786259541995,65.19067796610169,8,524,38626.60999999998
